Harapan_Lama_Sekolah;Pengeluaran_Perkapita;Rerata_Lama_Sekolah;Usia_Harapan_Hidup;IPM
1317;9335;883;6869;Normal
1306;7429;843;6631;Normal
1324;9554;852;7088;High
1334;10993;933;6918;High
137;8808;941;7118;High
1249;7960;797;6733;Normal
1273;7917;851;659;Normal
1309;7942;886;6876;Normal
1247;9641;748;643;Normal
1228;7606;839;6567;Normal
1287;8126;86;6999;Normal
1295;7663;862;6538;Normal
1224;8853;871;6961;Normal
1623;14839;1161;7104;Very-High
1345;11079;838;7057;High
1265;8970;788;6846;Normal
1317;10513;767;6792;Normal
1204;11632;672;7054;Normal
1198;9114;659;6639;Normal
1241;10454;729;6718;Normal
1364;9394;819;7043;High
1305;9439;775;673;Normal
1304;10963;773;6902;Normal
1276;11405;766;6666;Normal
1358;10923;823;6902;High
1288;8963;715;6707;Normal
129;9483;781;6965;Normal
1314;12386;681;6735;Normal
1294;12073;784;6983;High
1323;11844;786;6961;High
137;10844;89;7091;High
1333;10014;824;7034;High
138;7217;826;733;Normal
1243;11562;779;6851;Normal
1283;12814;88;7053;High
1338;8097;796;7339;Normal
1557;16873;1121;7209;Very-High
145;13663;1045;7127;High
1508;12995;1076;7088;High
1365;9331;904;7122;High
1375;7307;771;6825;Normal
1379;8203;836;7039;Normal
13;10126;915;7027;High
1281;12515;898;7106;High
1236;9037;786;708;Normal
1184;8234;803;6891;Normal
135;9204;794;7041;Normal
1211;10218;812;7036;Normal
1276;7470;892;7093;Normal
1283;9165;921;6951;Normal
1241;7727;756;7267;Normal
1206;6700;941;6843;Normal
125;7485;701;7034;Normal
13;7221;73;6766;Normal
1323;7263;753;6766;Normal
1662;14335;122;7377;Very-High
1516;10483;1064;7119;High
1308;10020;782;6807;Normal
1244;8789;682;6907;Normal
1317;9277;713;6758;Normal
1237;10255;712;6407;Normal
1357;10052;831;6846;Normal
1245;8921;703;6587;Normal
1434;12278;1036;7249;High
1277;9168;789;6506;Normal
1361;10056;865;6156;Normal
1306;8580;741;6238;Normal
1205;7747;765;7087;Normal
1319;9500;795;6752;Normal
1193;11111;798;662;Normal
1223;8414;746;6833;Normal
1396;8732;993;6598;Normal
1229;6297;968;6342;Normal
1281;7545;973;6507;Normal
1416;10210;967;6642;High
1303;10316;852;6641;Normal
123;7586;882;6287;Normal
1344;8690;887;6169;Normal
1276;9453;843;5941;Normal
1227;6890;835;6238;Normal
1269;7566;794;6627;Normal
1603;14116;1192;7052;Very-High
1397;7351;1052;6547;Normal
1367;8032;904;6833;Normal
1319;7352;835;6625;Normal
1299;7841;9;6391;Normal
1274;6950;895;633;Normal
1278;7068;793;6586;Normal
136;7414;851;6956;Normal
1275;7876;826;6888;Normal
1277;6290;739;6718;Normal
1259;6390;766;621;Normal
1574;13091;1171;7097;High
1431;8188;973;6934;High
1291;8086;76;6602;Normal
1437;7599;884;6847;Normal
1213;8325;841;6481;Normal
1148;8219;698;601;Normal
1231;9974;808;6083;Normal
1365;12207;825;6868;High
1316;6286;736;6625;Normal
1371;7495;817;661;Normal
1203;8014;791;6474;Normal
1191;4998;524;6013;Low
1321;5336;685;6519;Low
1235;5505;663;6758;Low
1172;5099;512;6724;Low
1438;13954;1114;707;High
1108;6954;669;6579;Normal
1388;10097;872;67;High
1227;7441;551;5964;Low
142;9898;1004;6705;High
1192;8840;10;6806;Normal
1273;7484;946;6912;Normal
1396;9705;1033;6825;High
1049;6361;457;6644;Low
724;5282;362;6515;Low
124;11431;1017;7232;High
1107;7947;878;5997;Normal
1055;6353;631;6511;Low
902;5733;494;5805;Low
761;4875;426;6593;Low
625;5409;281;6444;Low
86;4826;364;6571;Low
1205;6600;882;6636;Normal
1242;8910;801;6669;Normal
1279;6732;92;6633;Normal
1274;5677;881;6594;Normal
1179;4581;566;5777;Low
361;3975;113;5527;Low
862;4350;32;6606;Low
893;4462;315;6359;Low
911;4647;279;6542;Low
539;5378;215;6574;Low
1058;5373;493;6573;Low
765;5283;284;656;Low
981;4632;301;6524;Low
1501;14763;1156;7045;High
1298;11013;848;7147;High
143;9603;918;6987;High
1351;7210;908;6522;Normal
143;8715;852;6736;Normal
1441;8187;859;6427;Normal
1399;8067;965;6804;Normal
1302;8600;786;6867;Normal
1426;10782;969;6882;High
1459;9692;909;6793;High
1471;9661;1031;6977;High
1445;9824;882;6689;High
1482;8889;927;7116;High
1469;8189;846;6879;Normal
1357;8491;835;6491;Normal
1373;8845;791;6538;Normal
1358;8362;889;6952;Normal
1412;8348;85;6914;Normal
1397;9682;866;6711;Normal
1345;11124;978;6919;High
1454;10364;904;7006;High
1739;16892;1264;7136;Very-High
1381;11444;1113;7045;High
1534;12099;111;6937;High
1519;11421;109;7152;High
1421;7463;758;6394;Normal
1315;10649;945;6895;High
1239;7042;515;6968;Normal
1317;9900;836;6251;Normal
1312;11410;897;6482;Normal
1279;10175;848;6708;Normal
1368;11791;971;6846;High
1328;12375;1036;6993;High
1267;11193;923;6986;High
1259;10983;849;6811;Normal
1277;11422;936;7107;High
1309;10602;934;6879;High
1275;12474;962;7127;High
1334;12317;1008;7161;High
1281;11208;864;6859;High
1222;7105;553;6858;Normal
1327;7902;953;6906;Normal
1385;8402;873;6559;Normal
1346;8654;915;7116;High
1259;11061;853;6846;High
1262;10575;802;6675;Normal
1247;10194;91;6706;Normal
1302;9100;869;6698;Normal
1299;11553;874;6864;High
1282;11957;836;6937;High
1278;6245;625;6929;Normal
1271;6009;614;6882;Normal
1315;11656;1018;6877;High
1249;11383;926;6302;Normal
1421;12571;1115;7333;High
1271;12895;1028;7076;High
1473;15033;1138;7298;Very-High
1361;11260;1077;7225;High
1453;11181;107;6915;High
1373;8058;858;7102;Normal
1401;10925;892;6931;High
1276;6429;708;6468;Normal
1331;9444;825;7073;High
1303;10309;785;6834;Normal
1236;10395;81;6602;Normal
1432;10709;845;6973;High
1362;11158;786;6858;High
1386;9780;885;7217;High
1328;9842;798;697;Normal
1279;8599;786;6718;Normal
127;10505;816;6758;Normal
1242;11431;846;711;High
134;9180;806;6767;Normal
1651;14728;1134;7357;Very-High
1431;12337;1102;7345;High
1316;10238;997;6987;High
1505;11013;1145;7277;High
1496;13586;1132;7422;Very-High
1425;13464;1072;7361;High
1453;12958;1037;7015;High
1314;11255;903;7148;High
1332;10820;858;6844;High
1235;10738;817;702;High
119;10382;722;6766;Normal
1217;12149;849;7103;High
1275;12347;965;7103;High
1345;11232;925;7064;High
1283;9979;838;6989;Normal
1286;11753;941;7111;High
1267;9672;824;7017;Normal
1281;8358;751;6753;Normal
1537;15206;1143;7222;Very-High
131;12453;985;7082;High
1293;10592;845;7106;High
1386;10198;821;6982;High
1198;10312;768;7118;Normal
1226;11679;776;6909;Normal
1291;10038;785;7044;Normal
1282;8697;833;7118;Normal
1201;9192;635;6608;Normal
1261;9539;77;6803;Normal
1239;10555;757;6991;Normal
1261;11662;815;6761;Normal
149;12205;1091;7257;High
1478;10510;1008;7201;High
1239;10937;818;6965;High
1259;10261;869;6801;Normal
1141;11032;703;6841;Normal
1196;11285;778;6863;Normal
1233;10071;845;6576;Normal
1207;9795;751;6786;Normal
1199;10364;761;6854;Normal
1174;10135;719;6876;Normal
1174;8830;783;6676;Normal
1222;11753;754;6887;Normal
1229;10777;785;6521;Normal
1205;9594;739;6481;Normal
119;8400;675;6807;Normal
1156;10223;65;6543;Normal
144;15087;1052;7054;High
129;13072;972;7009;High
1284;9291;914;6641;Normal
1336;13586;981;6904;High
1359;10409;873;6921;High
136;9813;902;6779;High
1368;10162;826;6837;High
1286;10336;786;6804;Normal
1298;8594;825;665;Normal
1327;8209;791;6756;Normal
1272;10381;799;6651;Normal
1256;11177;79;6312;Normal
1289;9243;793;6778;Normal
1302;9435;722;6812;Normal
1601;14030;1178;7004;Very-High
1263;10114;792;7051;Normal
1224;9970;785;6743;Normal
1217;9294;721;684;Normal
1233;9978;768;692;Normal
1284;10028;759;7061;Normal
1291;11154;757;6975;High
1247;8779;82;6905;Normal
1235;9292;739;6927;Normal
1188;10797;723;6988;Normal
1229;8059;76;6888;Normal
1282;10289;819;6985;Normal
1162;8144;661;6804;Normal
1204;8532;713;6988;Normal
1198;8652;782;6327;Normal
1453;12255;1092;7128;High
1434;12017;1064;7155;High
1194;12959;798;705;High
1276;12480;823;7099;High
1184;13662;841;7094;High
1152;12275;721;6999;Normal
1176;13070;713;7116;High
1136;11910;642;679;Normal
1151;11831;815;719;High
1299;15883;98;7317;High
1283;14466;999;698;High
123;12136;792;7071;High
1295;14730;836;703;High
1389;14821;872;6481;High
1244;12091;651;6175;Normal
1275;12065;691;6706;Normal
1315;18146;1113;7329;Very-High
1409;15838;999;7202;High
1297;18527;1106;7279;Very-High
1256;12623;847;6851;High
1332;23851;1162;7403;Very-High
1382;17662;1165;7437;Very-High
1324;17285;1125;7402;Very-High
1279;20875;104;7354;Very-High
1262;18566;107;7318;Very-High
1248;11152;837;7285;High
1247;10683;829;7101;High
1222;8973;702;7073;Normal
1198;8290;697;6991;Normal
1268;10502;879;734;High
1182;8099;751;7122;Normal
1252;8092;717;6921;Normal
1379;9557;769;7157;High
121;9673;738;7335;Normal
1224;10670;671;7182;Normal
1221;9822;709;6997;Normal
1296;10406;827;7229;High
1224;10090;599;7137;Normal
1169;11012;685;7213;Normal
121;11819;792;708;High
1208;11856;765;7198;High
1308;11610;884;7356;High
1186;8684;818;7218;Normal
1206;9423;767;7112;Normal
134;11825;1032;7341;High
1346;11204;958;7226;High
1419;17254;1074;7414;Very-High
1311;11930;99;7213;High
1399;16157;111;7489;Very-High
1391;15696;11;7431;Very-High
1379;12448;1095;7389;High
1344;10414;913;7193;High
1322;10705;862;7079;High
1268;11102;753;7423;High
1249;10639;693;7352;Normal
1282;11703;742;7355;High
1198;10131;714;7302;Normal
1145;9547;65;7401;Normal
1304;9066;753;7322;Normal
1349;10342;791;7452;High
1174;10871;676;716;Normal
1253;9387;777;7356;Normal
1243;13079;756;7583;High
1324;12074;831;7668;High
1382;11557;91;7755;High
1248;9426;704;7607;Normal
1367;11569;852;7738;High
1269;12720;734;7562;High
1229;10350;686;7461;Normal
1219;9795;658;7423;Normal
121;10551;715;7443;High
1241;10660;719;7604;High
1322;11318;863;765;High
1274;10609;744;7574;High
1301;10344;755;7531;High
1294;12116;801;7563;High
1213;9489;715;7548;Normal
128;11597;725;7433;High
12;9573;663;7459;Normal
124;10508;688;7357;Normal
1194;8546;641;7322;Normal
1258;9798;686;714;Normal
1203;10238;62;6904;Normal
1381;12514;1033;7675;High
1455;15049;1054;7712;Very-High
1534;15944;1041;7722;Very-High
1551;15550;1052;7725;Very-High
1283;12680;871;7428;High
1304;13250;831;7434;High
1558;14394;938;7492;High
1425;10275;866;752;High
1515;15636;954;7377;Very-High
1296;9612;713;7403;Normal
1672;16434;1067;7477;Very-High
1728;19125;1145;7456;Very-High
1316;11739;759;7118;High
1262;9033;728;7177;Normal
1372;9883;721;7265;High
1225;9865;728;7359;Normal
1315;10891;807;7395;High
1245;10861;729;7339;High
1288;11146;801;7254;High
1317;10270;727;7245;High
118;9274;622;6994;Normal
1322;9525;618;6899;Normal
1278;12264;713;7054;High
1327;10665;571;6655;Normal
1314;10097;612;6897;Normal
1234;10972;577;67;Normal
1231;10381;711;7017;Normal
1491;14609;1025;7398;Very-High
1261;12860;849;7243;High
13;11533;853;7227;High
1285;12200;763;7144;High
1314;11650;78;7122;High
14;11779;796;7249;High
1269;11468;698;7216;High
1236;10265;709;7136;Normal
122;10499;681;7126;Normal
1347;11572;789;7227;High
1372;13295;929;7261;High
1159;8718;566;7011;Normal
1208;8760;455;6796;Normal
1363;8834;64;6745;Normal
1319;9082;546;7122;Normal
1497;12440;992;7396;High
1431;13851;101;736;High
1541;16666;1017;7315;Very-High
1357;12280;869;7019;High
136;13393;911;714;High
1383;13710;1024;7321;High
1439;16040;1113;7275;Very-High
1479;17854;1047;7413;Very-High
1412;12870;906;7254;High
1288;12267;874;6984;High
1346;8719;696;6449;Normal
1196;8850;631;6704;Normal
1281;12476;828;6979;High
1243;10802;733;6447;Normal
1384;14860;1065;7157;High
1315;13230;974;666;High
1277;13418;867;6783;High
1443;15988;118;7241;Very-High
1327;14146;884;7199;High
1263;11902;822;7221;High
1299;14608;887;7353;High
1397;17628;1038;7499;Very-High
138;14623;894;7356;High
1298;11484;812;7106;High
1233;11369;716;7037;Normal
124;10302;631;7035;Normal
1291;13780;708;7168;High
1399;19992;1123;7468;Very-High
1348;10640;727;6628;Normal
1348;11647;637;6664;Normal
135;10196;627;6599;Normal
1351;9639;669;6574;Normal
1297;9336;791;6731;Normal
1331;9027;84;666;Normal
1328;8631;777;6611;Normal
1361;11766;853;678;High
1271;9279;584;6692;Normal
1558;15426;945;7159;High
1499;11334;1038;702;High
1315;7769;755;6685;Normal
1289;7586;653;6698;Normal
1281;9640;686;6494;Normal
1384;7698;737;6439;Normal
1256;6955;672;6632;Normal
133;6479;751;6686;Normal
1226;7677;711;6435;Normal
1211;6958;809;6129;Normal
124;7474;821;6697;Normal
129;7770;77;651;Normal
1287;8313;671;6707;Normal
1377;9315;78;6517;Normal
1269;8961;837;6796;Normal
1314;7276;727;6677;Normal
1317;6720;729;6434;Normal
1196;7602;719;6712;Normal
1266;6198;596;6832;Normal
1305;6594;633;6843;Normal
1247;8469;783;6703;Normal
1169;5919;687;6798;Normal
1313;5354;633;6023;Low
1277;5998;686;6489;Normal
1624;13592;1147;6937;High
1258;9055;731;7056;Normal
126;9924;67;6883;Normal
1208;9182;653;7367;Normal
1239;7403;71;727;Normal
1233;7913;682;709;Normal
1156;8410;695;7135;Normal
1179;9259;726;7101;Normal
1202;8823;689;7162;Normal
1204;7206;747;7244;Normal
1157;7640;66;7165;Normal
1115;8465;667;7288;Normal
1181;7905;6;6811;Normal
1364;8773;682;7043;Normal
1499;14515;1014;728;High
1289;11789;772;7185;High
1257;11236;851;6969;High
1271;13175;841;7051;High
1269;11905;812;698;High
129;11063;752;6869;Normal
1254;11582;871;6699;High
1248;10010;86;7129;High
1211;8738;791;7149;Normal
1247;11278;838;6934;High
1198;9385;793;6925;Normal
1251;10639;866;657;Normal
124;10104;808;6798;Normal
1177;10822;903;7032;High
1282;11333;92;6814;High
1174;10471;746;6947;Normal
1494;14091;1151;7319;Very-High
1252;12253;82;6849;High
1196;11318;764;6931;Normal
1192;11731;742;691;Normal
1228;12681;734;6697;Normal
1238;9952;733;6588;Normal
1186;12088;775;7023;High
121;12835;774;6582;Normal
1219;12257;799;6582;Normal
1288;9772;737;6358;Normal
1259;11476;878;7033;High
1236;12025;771;7008;High
1237;11557;727;6759;Normal
1392;14547;994;7098;High
148;13949;1094;7187;High
1369;12359;97;7422;High
13;10767;854;7252;High
1289;10338;834;7279;High
1358;11152;91;7221;High
1278;11196;918;7303;High
1331;12726;925;7194;High
1255;11750;816;713;High
125;8008;789;719;Normal
1413;14791;1067;7441;Very-High
147;14613;1047;7417;Very-High
129;16843;1073;7418;Very-High
1284;9343;894;7254;High
1329;10121;905;7142;High
1299;9648;893;726;High
122;7981;853;7138;Normal
1263;7290;781;713;Normal
1373;11509;996;7392;High
1273;11115;943;7158;High
1141;10470;777;6922;Normal
1397;12720;958;7098;High
1231;11663;804;6996;High
1227;8638;925;7004;Normal
1243;11760;885;698;High
1269;11712;993;7131;High
119;9366;812;6754;Normal
1164;8252;875;7054;Normal
1204;10665;887;7007;High
1228;9229;78;6445;Normal
115;9483;759;6781;Normal
1414;14232;1126;718;High
126;12383;987;71;High
1419;12152;1048;7179;High
1278;11098;1009;7033;High
1314;9604;875;6823;Normal
1305;7619;819;6571;Normal
1323;9842;824;7061;High
1333;11277;911;6882;High
1369;9084;936;7085;High
1248;8189;786;6685;Normal
1272;8156;826;653;Normal
1308;8151;875;6817;Normal
1246;9878;747;6394;Normal
1225;7765;838;6514;Normal
1286;8375;853;6957;Normal
1289;7888;851;6479;Normal
1223;9109;87;6919;Normal
1622;15205;116;7068;Very-High
1336;11118;826;7043;High
1248;9028;763;6834;Normal
1291;10480;743;6769;Normal
1203;11592;648;7042;Normal
1197;9078;648;6624;Normal
1225;10474;718;6701;Normal
1348;9369;797;7037;Normal
1287;9465;748;6717;Normal
1302;10981;746;6898;Normal
1251;11392;76;6649;Normal
1357;10911;796;6891;High
128;8954;698;6688;Normal
1273;9444;774;6943;Normal
1313;12399;68;6717;Normal
1293;12039;783;6959;High
1322;11828;785;6939;High
1369;10800;889;7083;High
1332;10085;815;7019;High
1358;7253;802;7315;Normal
1242;11583;778;6831;Normal
1282;12802;854;7038;High
1337;8083;792;7335;Normal
1556;16989;112;72;Very-High
1449;13648;103;7118;High
1507;12986;1075;7079;High
1355;9436;891;7097;High
1374;7366;751;6792;Normal
1378;8253;835;7018;Normal
1299;10200;914;7002;High
128;12525;876;7072;High
1224;9115;774;7052;Normal
1183;8344;774;6854;Normal
132;9388;773;7013;Normal
121;10258;786;7015;Normal
1275;7534;875;7075;Normal
1254;9215;897;6923;Normal
1215;7832;735;7233;Normal
1181;6832;918;6825;Normal
122;7526;677;7016;Normal
127;7264;729;675;Normal
1294;7293;732;675;Normal
1628;14392;1194;7352;Very-High
1481;10523;1037;7095;High
1306;10075;769;6793;Normal
1243;8874;654;6883;Normal
1294;9361;711;6745;Normal
1236;10316;71;6383;Normal
1345;10147;807;6838;Normal
1244;8982;674;6579;Normal
1432;12298;1035;7242;High
1262;9235;773;6482;Normal
136;10029;852;613;Normal
1305;8598;74;6218;Normal
1174;7769;737;7075;Normal
1318;9535;769;6723;Normal
1166;11094;792;6591;Normal
1192;8501;724;6806;Normal
1394;8887;981;6582;Normal
1228;6396;955;6334;Normal
1263;7625;95;6495;Normal
1415;10298;964;6634;High
1302;10400;846;6632;Normal
1229;7678;871;6273;Normal
1342;8704;886;6148;Normal
1275;9452;822;5916;Normal
1226;6888;814;6216;Normal
1268;7627;77;6613;Normal
1602;14233;1191;7035;Very-High
139;7506;1026;6521;Normal
1363;8308;9;6818;Normal
1308;7660;812;6613;Normal
1294;8258;879;6365;Normal
1273;7221;873;6318;Normal
1277;7298;792;6575;Normal
1359;7713;838;6947;Normal
1274;8127;806;6864;Normal
1243;6655;71;6699;Normal
1258;6659;746;6195;Normal
1573;13632;1158;7085;Very-High
142;8608;964;6922;High
1272;8125;744;659;Normal
1409;7608;864;6841;Normal
1198;8304;828;6464;Normal
1134;8198;687;5993;Low
1217;9821;795;606;Normal
1364;11994;816;6856;High
1288;6252;726;6615;Normal
1343;7507;802;6602;Normal
1202;7958;78;647;Normal
1162;5001;507;5996;Low
1291;5391;667;6517;Low
1233;5511;657;6748;Low
1162;5102;508;6718;Low
1422;13815;1105;7046;High
1105;7336;665;6565;Normal
1359;10498;856;6693;Normal
1193;7835;53;5939;Low
1419;10375;979;6693;High
1159;9195;97;6797;Normal
1272;7785;919;6906;Normal
1395;10211;1022;682;High
1048;6767;438;6627;Low
696;5523;361;6498;Low
1217;12035;991;7227;High
1106;8300;855;5964;Normal
1054;6513;63;6491;Low
874;6066;482;5753;Low
76;5030;402;658;Low
614;5633;261;6434;Low
828;5142;363;6558;Low
1181;6860;853;6626;Normal
1241;9136;8;666;Normal
1278;7018;918;6624;Normal
1273;5820;86;6581;Normal
1178;4807;565;5755;Low
329;4181;97;5512;Low
835;4569;319;66;Low
863;4671;29;6344;Low
883;4860;258;6534;Low
519;5702;196;6561;Low
1057;5709;492;656;Low
736;5593;264;6551;Low
98;4958;3;6511;Low
15;15176;1155;7038;Very-High
1295;11299;834;7134;High
1427;9186;909;6964;High
1325;6824;907;65;Normal
1429;8506;805;6716;Normal
1415;7891;838;6402;Normal
1398;7685;964;6777;Normal
1301;8252;785;6844;Normal
1425;10394;968;6862;High
1458;9134;908;6772;High
147;9192;1014;6959;High
1444;9492;881;6668;Normal
1481;8378;917;7092;High
1468;7919;811;6861;Normal
1356;8093;813;6465;Normal
1349;8529;769;6512;Normal
1357;8032;87;6928;Normal
1411;7936;826;6889;Normal
1396;9262;837;6688;Normal
1344;10626;956;6899;High
1453;9967;886;6981;High
1726;16234;126;711;Very-High
1366;10899;1097;7021;High
1519;11497;1106;6916;High
1518;10863;1089;7127;High
142;7039;739;6369;Normal
1314;10391;934;6861;High
1213;6941;494;6943;Normal
1315;9653;811;6224;Normal
131;11209;87;6455;Normal
1266;10067;829;6682;Normal
1366;11607;965;6811;High
1326;12095;1034;6959;High
126;11053;904;696;High
1256;10735;847;6779;Normal
1275;11311;918;7075;High
1307;10492;915;6841;High
1273;12367;955;7097;High
1332;12132;992;7131;High
1275;11088;852;6822;High
122;6941;52;6824;Normal
1325;7630;928;6869;Normal
1383;8099;848;6527;Normal
1344;8348;914;7087;Normal
1257;10737;851;6808;Normal
1252;10385;784;6638;Normal
1242;9912;906;6677;Normal
13;8772;867;6669;Normal
1297;11280;871;6839;High
128;11730;835;6909;High
1258;6041;609;6898;Normal
1266;5817;6;685;Normal
1313;11405;991;6836;High
1247;11102;924;626;Normal
1402;12290;1108;7293;High
1268;12434;1024;7047;High
1472;14845;1137;7264;Very-High
1359;10750;1075;7195;High
1451;10795;1063;6873;High
1371;7639;841;7067;Normal
1395;10638;876;6901;High
1239;6211;695;6449;Normal
133;9089;814;7045;Normal
1302;10035;784;6795;Normal
1235;10277;777;6569;Normal
1388;10417;844;6938;High
1357;10919;75;6823;Normal
1385;9489;869;7183;High
1327;9500;797;6947;Normal
1278;8238;766;6682;Normal
1269;10199;815;6721;Normal
1241;11189;825;7073;High
1322;8979;786;6737;Normal
165;14312;1133;7335;Very-High
143;11968;1101;7314;High
1315;9765;994;6959;High
1504;10440;1144;7258;High
1495;13035;1131;7391;Very-High
1424;13114;1046;7333;High
1452;12611;1036;6987;High
1311;10968;892;7119;High
1327;10476;831;6817;Normal
1232;10481;816;6997;Normal
1189;10254;719;6732;Normal
1216;11894;844;7074;High
1273;12119;964;7079;High
1321;11128;91;7035;High
1282;9608;837;6955;Normal
1283;11640;921;7085;High
1263;9316;815;6987;Normal
1278;7978;748;6721;Normal
1534;14778;1122;7194;Very-High
1298;12063;984;7055;High
129;10357;823;7089;High
1385;9951;82;6965;High
1197;10133;767;7104;Normal
1225;11609;763;6894;Normal
129;9833;782;7026;Normal
1281;8456;809;7102;Normal
1185;8904;634;6586;Normal
126;9395;756;6787;Normal
1238;10273;756;6977;Normal
126;11352;809;6742;Normal
1462;11912;1067;7243;High
1477;10186;984;7184;High
1236;10652;8;6941;Normal
1257;9940;868;6783;Normal
114;10706;702;6822;Normal
1195;11012;76;6838;Normal
1232;9600;844;655;Normal
1199;9562;728;6759;Normal
1198;10212;76;6833;Normal
1173;9760;717;6855;Normal
1173;8445;782;6649;Normal
1204;11612;727;6865;Normal
1228;10412;758;6496;Normal
1204;9450;738;6456;Normal
117;8136;658;6788;Normal
1155;9795;645;6521;Normal
1439;14697;1037;7032;High
1289;12765;971;6988;High
1283;8758;908;6614;Normal
1331;13288;951;6883;High
1358;10162;861;6884;High
1359;9592;901;6745;Normal
1355;10045;805;6795;Normal
1284;10098;785;6767;Normal
1296;8284;824;6615;Normal
1326;7844;79;6714;Normal
1271;10036;788;6616;Normal
123;11071;789;6273;Normal
1268;9135;792;6739;Normal
1297;9102;714;6782;Normal
16;13633;1158;6972;High
1261;9858;782;7018;Normal
1219;9741;76;6709;Normal
1215;9107;696;6804;Normal
1217;9781;767;6887;Normal
1283;9908;757;7031;Normal
129;11052;751;6946;Normal
1244;8559;819;6871;Normal
1233;8979;735;6895;Normal
1173;10553;722;6959;Normal
1228;7724;747;6853;Normal
1278;10190;801;6944;Normal
1161;7774;66;6771;Normal
1199;8205;71;6956;Normal
1197;8355;759;6285;Normal
1423;11952;109;7101;High
1429;11636;1061;7129;High
1187;12666;784;7018;High
1268;12043;82;7073;High
1183;13281;815;7064;High
1151;12011;718;6973;Normal
1175;12836;68;7078;Normal
1135;11573;636;6747;Normal
1149;11302;814;7159;High
1283;15560;978;7286;High
1282;13976;981;6964;High
1216;11945;781;7052;High
1275;14256;835;7021;High
1388;14217;871;6457;High
1243;11499;627;6144;Normal
1232;11894;67;6691;Normal
1295;17560;1112;7324;Very-High
1408;15292;998;7193;High
1295;18128;1105;7267;Very-High
1248;12264;846;6827;High
1331;23363;1157;7393;Very-High
1343;17339;1164;7427;Very-High
1323;16994;1124;7392;Very-High
1278;20298;1038;7345;Very-High
1261;18121;1069;7308;High
1245;10790;815;7266;High
1244;10323;788;7086;Normal
122;8618;68;7049;Normal
119;7874;693;697;Normal
1264;10203;858;7326;High
118;7597;75;7103;Normal
1248;7761;713;6896;Normal
1367;9190;76;7132;Normal
1207;9297;736;7311;Normal
1222;10212;662;7166;Normal
1219;9416;691;6968;Normal
1294;10153;817;7214;High
1222;9633;598;7111;Normal
1168;10715;684;7192;Normal
1209;11372;775;7061;Normal
1207;11277;735;7181;Normal
1305;11155;884;7343;High
1183;8329;797;7203;Normal
1204;8968;758;7084;Normal
1338;11348;103;7321;High
134;10609;953;7211;High
1418;16630;1063;74;Very-High
1309;11397;989;7199;High
1376;15755;1109;7476;Very-High
139;15262;1085;7417;Very-High
1377;11921;1094;7375;High
1342;9855;904;717;High
132;10329;86;7059;High
1263;10777;735;7418;High
1248;10274;692;7339;Normal
1264;11240;741;7345;High
1195;9786;7;7298;Normal
1142;9160;628;7391;Normal
1291;8757;734;7311;Normal
1348;10048;77;744;High
1169;10503;675;7146;Normal
1248;9025;757;7347;Normal
1216;12758;755;7579;High
1313;11738;824;7667;High
1381;11100;884;7754;High
1245;9117;688;7605;Normal
1366;11223;851;7736;High
1265;12391;722;756;High
1228;10097;667;7455;Normal
1214;9385;646;7412;Normal
1205;10191;695;7439;Normal
123;10190;718;7593;High
1321;10979;862;7647;High
1271;10169;743;7571;High
1286;10001;748;7529;High
1285;11807;788;7562;High
1208;9142;694;7547;Normal
127;11257;705;743;High
1188;9203;662;7456;Normal
1217;10221;674;7353;Normal
1191;8186;632;7311;Normal
1234;9433;67;7128;Normal
1202;9890;619;6884;Normal
138;11994;1031;7672;High
1452;14528;1053;7711;Very-High
15;15464;104;7711;Very-High
155;14895;1051;7723;Very-High
1279;12312;857;7425;High
129;12830;83;743;High
1556;13946;932;7482;High
1424;9698;865;7512;High
1503;15386;935;7366;High
1295;9163;7;7392;Normal
1671;15844;1066;7469;Very-High
1705;18629;1144;7445;Very-High
131;11380;739;7097;High
1261;8527;719;7152;Normal
1371;9426;717;7243;Normal
1212;9400;727;7335;Normal
1305;10455;806;7374;High
1244;10327;727;7316;Normal
1287;10853;768;7237;High
1287;9844;718;7226;Normal
1179;8931;621;697;Normal
1321;9090;607;6874;Normal
1269;11828;712;7034;High
1295;10429;562;6627;Normal
1301;9692;611;6873;Normal
1207;10700;571;6671;Normal
123;9933;683;7001;Normal
1475;14168;1024;7382;High
1253;12454;818;7224;High
1299;10999;821;7204;High
1284;11768;761;7125;High
1313;11351;757;7097;High
1373;11539;795;723;High
1268;11187;688;7192;Normal
1235;9926;677;7107;Normal
1219;10048;652;7101;Normal
1346;11108;783;7204;High
1371;12845;896;7246;High
1158;8393;533;6994;Normal
1176;8569;436;6779;Normal
1362;8536;635;6722;Normal
1307;8722;523;7094;Normal
1496;11976;991;738;High
1402;13391;99;7336;High
154;16158;1016;7293;Very-High
1356;11796;849;70;High
1359;12931;91;7118;High
1382;13155;999;7301;High
1421;15616;1111;7259;Very-High
1478;17157;1046;7398;Very-High
1404;12466;877;7237;High
1285;11994;862;6964;High
1342;8613;672;6424;Normal
1193;8634;621;6679;Normal
128;12179;827;6961;High
1239;10693;718;6422;Normal
1383;14443;1051;7145;High
1313;12900;973;6643;High
1265;13261;862;6758;High
1442;15672;1178;7226;Very-High
1323;13886;865;7168;High
1261;11666;795;7191;High
1296;14245;864;7323;High
